VCD info: dumpfile sha1block_tb.vcd opened for output.
VCD warning: $dumpvars: Package ($unit) is not dumpable with VCD.
 i  rst   word   |  t words[0] |
 61  0  00000018 | 57 651d16a0 | 5e6456af 7b71f76d 09fa7c76 792410db 8e11eb59
 62  0  00000018 | 58 62658ca1 | c846093f 5e6456af 5edc7ddb 09fa7c76 792410db
 63  0  00000018 | 59 458544d6 | d262ff50 c846093f d79915ab 5edc7ddb 09fa7c76
 64  0  00000018 | 60 44584cb7 | 09d785fd d262ff50 f211824f d79915ab 5edc7ddb
 65  0  00000018 | 61 7ba06619 | 3f52de5a 09d785fd 3498bfd4 f211824f d79915ab
 66  0  00000018 | 62 6380aea2 | d756c147 3f52de5a 4275e17f 3498bfd4 f211824f
 67  0  00000018 | 63 0ae55269 | 548c9cb2 d756c147 8fd4b796 4275e17f 3498bfd4
 68  0  00000018 | 64 627b49a1 | b66c020b 548c9cb2 f5d5b051 8fd4b796 4275e17f
 69  0  00000018 | 65 7cd45c9d | 6b61c9e1 b66c020b 9523272c f5d5b051 8fd4b796
 70  0  00000018 | 66 000f0000 | 19dfa7ac 6b61c9e1 ed9b0082 9523272c f5d5b051
 71  0  00000018 | 67 fb50753a | 101655f9 19dfa7ac 5ad87278 ed9b0082 9523272c
 72  0  00000018 | 68 ec6765e8 | 0c3df2b4 101655f9 0677e9eb 5ad87278 ed9b0082
 73  0  00000018 | 69 ba3c2be2 | 78dd4d2b 0c3df2b4 4405957e 0677e9eb 5ad87278
 74  0  00000018 | 70 0060c000 | 497093c0 78dd4d2b 030f7cad 4405957e 0677e9eb
 75  0  00000018 | 71 3a37cd05 | 3f2588c2 497093c0 de37534a 030f7cad 4405957e
 76  0  00000018 | 72 458546f4 | c199f8c7 3f2588c2 125c24f0 de37534a 030f7cad
 77  0  00000018 | 73 b8599dd6 | 39859de7 c199f8c7 8fc96230 125c24f0 de37534a
 78  0  00000018 | 74 380a1a26 | edb42de4 39859de7 f0667e31 8fc96230 125c24f0
 79  0  00000018 | 75 01e02203 | 11793f6f edb42de4 ce616779 f0667e31 8fc96230
 80  0  00000018 | 76 e7cc3456 | 5ee76897 11793f6f 3b6d0b79 ce616779 f0667e31
 81  0  00000018 | 77 e6e60b69 | 63f7dab7 5ee76897 c45e4fdb 3b6d0b79 ce616779
 82  0  00000018 | 78 00f60a00 | a079b7d9 63f7dab7 d7b9da25 c45e4fdb 3b6d0b79
 83  0  00000018 | 79 5795ef4f | 860d21cc a079b7d9 d8fdf6ad d7b9da25 c45e4fdb
 84  0  00000018 | 80 822e0879 | 5738d5e1 860d21cc 681e6df6 d8fdf6ad d7b9da25
 85  0  00000018 | 81 7e577ce2 | 42541b35 5738d5e1 21834873 681e6df6 d8fdf6ad
*** PASSED 0xa9993e364706816aba3e25717850c26c9cd0d89d
 86  0  00000018 | 81 07ef2103 | 42541b35 5738d5e1 21834873 681e6df6 d8fdf6ad
 87  0  00000018 | 81 8544e945 | 42541b35 5738d5e1 21834873 681e6df6 d8fdf6ad
 88  0  00000018 | 81 eb39dab8 | 42541b35 5738d5e1 21834873 681e6df6 d8fdf6ad
 89  0  00000018 | 81 c205991a | 42541b35 5738d5e1 21834873 681e6df6 d8fdf6ad
 90  0  00000018 | 81 80aecb63 | 42541b35 5738d5e1 21834873 681e6df6 d8fdf6ad
 91  0  00000018 | 81 7d84ca48 | 42541b35 5738d5e1 21834873 681e6df6 d8fdf6ad
